,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
156,Tropical Storm Vicente (2018),https://en.wikipedia.org/wiki/Tropical_Storm_Vicente_(2018),"Tropical Storm Vicente occurred from October 19, 2018 to October 23, 2018.","The areas affected by Tropical Storm Vicente include Central America, Southwestern Mexico.",The storm left a total of 16 people dead throughout 2 states: 13 in Oaxaca and 3 in Veracruz.,The storm left a total of 16 people dead throughout 2 states: 13 in Oaxaca and 3 in Veracruz.,"Emergency declarations were issued for 167 municipalities that were severely affected, and 500 individuals were evacuated from their homes in Veracruz.","A landslide in Santiago Camotlan buried a house and killed a 40-year-old man, and a freight train derailment left two workers injured.",The economic loss or damage in USD (or other currencies) due to Tropical Storm Vicente (2018) is not explicitly mentioned in the provided text.,"The heavy rainfall caused hundreds of homes to be inundated, and several homes were reported to be flooded in different areas."
157,2022 Greek floods,https://en.wikipedia.org/wiki/2022_Greek_floods,"In October 2022, Crete, the largest island of Greece was hit by destructive floods. On 15 October, flash floods hit the north coast of Crete.","Settlements affected included Agia Pelagia, Lygaria, Chania and Lasithi.",NULL,Two fatalities were reported,NULL,NULL,NULL,Extensive damage was reported in many seaside areas.
158,Cyclone Giri,https://en.wikipedia.org/wiki/Cyclone_Giri,"Cyclone Giri occurred from October 20, 2010 to October 23, 2010.","Cyclone Giri affected Myanmar, Bangladesh, Thailand, and Yunnan.","A total of 176,823 people were affected by the storm, with 70,795 left homeless.",157 fatalities had been confirmed as a result of Cyclone Giri.,"At least 70,000 people were left homeless due to Cyclone Giri.",NULL,The damage from the storm amounted to $359 million (2010 USD).,"Thousands of structures near where the storm made landfall were destroyed, leaving more than 70,000 people homeless."
159,Tropical Storm Laura (2008),https://en.wikipedia.org/wiki/Tropical_Storm_Laura_(2008),"Tropical Storm Laura (2008) occurred from September 29, 2008 to October 4, 2008.","The areas affected by Tropical Storm Laura (2008) included Azores, Atlantic Canada, Greenland, Europe, the Netherlands, Germany, and Norway.",NULL,None,NULL,NULL,Minimal damage was reported.,NULL
160,Cyclone Debbie,https://en.wikipedia.org/wiki/Cyclone_Debbie,Cyclone Debbie occurred from 23 March 2017 to 7 April 2017.,"Queensland, New South Wales, New Zealand were affected by Cyclone Debbie.",A total of eight deaths were reported throughout Queensland.,A total of 14 deaths were confirmed caused by Cyclone Debbie.,"Approximately 300 people, primarily tourists, on Daydream Island were left stranded and in dire need of supplies.",A man in Proserpine suffered an injury and was hospitalized after a wall collapsed on him on 28 March.,The total economic losses reached A$3.5 billion (US$2.67 billion).,"Major damage was reported across Bowen, where most homes had been built before stricter building codes were enforced."
161,Typhoon Fanapi,https://en.wikipedia.org/wiki/Typhoon_Fanapi,"Typhoon Fanapi occurred from September 14, 2010, to September 21, 2010.","Typhoon Fanapi affected Japan, Taiwan, and China.","About 150,000 people evacuated their homes in Taiwan, and 264,000 people evacuated their homes in southeastern China due to Typhoon Fanapi.",105 deaths were confirmed to be caused by Typhoon Fanapi in total.,"About 150,000 people were evacuated due to the storm, with over 7,500 people requiring assistance to leave after the floods.",111 people were injured in Taiwan due to Typhoon Fanapi.,"The total economic damage in Taiwan was estimated at NT$5 billion (US$158 million), and in China, the provincial damage was estimated at CNY 5.15 billion (US$757.05 million).","Fanapi wrecked 16,000 homes in China, and 438 schools were damaged in Taiwan."
162,1932 Freeport hurricane,https://en.wikipedia.org/wiki/1932_Freeport_hurricane,"The 1932 Freeport hurricane occurred from August 12, 1932 to August 15, 1932.","The areas affected by the 1932 Freeport hurricane included the South Central U.S., with specific impact on Texas coast, Yucatán Peninsula, Freeport, Texas, Texas Panhandle, Angleton, Galveston, San Antonio, Oklahoma, Wharton, and Houston.",NULL,The 1932 Freeport hurricane caused 40 deaths.,35 convicts were freed from the Ramsey Unit state prison during the storm due to the chance of the prison collapsing.,NULL,The 1932 Freeport hurricane caused $7.5 million in damages.,"Galveston suffered primarily wind damage in the form of unroofed structures and broken windows. The Galveston Causeway was flooded by the heavy rain, preventing access from Galveston Island to the mainland. Several other roads were blocked by fallen trees. Hobby Airport in Houston had 11 planes damaged when a hangar collapsed, resulting in losses of $250,000."
163,Typhoon Nabi,https://en.wikipedia.org/wiki/Typhoon_Nabi,"Nabi formed on August 29, 2005, and dissipated on September 12, 2005.","The areas affected by Typhoon Nabi include the Northern Mariana Islands, Guam, Japan, South Korea, Russian Far East, and Alaska.","About 250,000 people evacuated along the Japanese island of Kyushu ahead of the storm.",Nabi killed 35 people in total.,"The storm destroyed 7,452 houses and flooded 21,160 others in Japan.","Nabi injured 179 people, 45 of them severely.",The economic damage caused by Typhoon Nabi was $972 million (2005 USD).,Nabi destroyed 114 homes in the Northern Mariana Islands and damaged or destroyed 114 homes.
164,Hurricane Klaus (1990),https://en.wikipedia.org/wiki/Hurricane_Klaus_(1990),"Hurricane Klaus (1990) occurred from October 3, 1990 to October 9, 1990.","Hurricane Klaus (1990) affected the Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Bahamas, and the Southeastern United States.",The text mentions that 11 people were confirmed to have been affected by Hurricane Klaus (1990).,The text mentions that 11 fatalities were confirmed to have been caused by Hurricane Klaus (1990) in total.,"The text mentions that a total of 1,500 people were left homeless on Martinique due to Hurricane Klaus (1990).",The text does not provide specific information about the number of people who were injured due to Hurricane Klaus (1990).,The text mentions that the damage caused by Hurricane Klaus (1990) totaled over $1 million (1990 USD).,"The text mentions severe flooding on Martinique, which resulted in some landslides and damaged power and telephone systems. Additionally, a dam burst in South Carolina, causing heavy damage."
165,List of storms named Fernand,https://en.wikipedia.org/wiki/Tropical_Storm_Fernand,The name Fernand has been used for two tropical cyclones in the Atlantic Ocean.,Both formed in the southwestern Gulf of Mexico.,NULL,NULL,NULL,NULL,NULL,NULL
166,2015 Accra floods,https://en.wikipedia.org/wiki/2015_Accra_floods,The rain started on 1 June 2015.,"Accra, the largest city in Ghana, including Graphic Road, a hub for scrap dealers and other squatters.","At least 25 people have died from the flooding directly, while a petrol station explosion caused by the flooding killed at least 200 more people.","At least 25 people have died from the flooding directly, while a petrol station explosion caused by the flooding killed at least 200 more people.",NULL,NULL,NULL,NULL
167,Hurricane Ian - Wikiquote,https://en.wikiquote.org/wiki/Hurricane_Ian,Hurricane Ian occurred during the 2022 Atlantic hurricane season.,"Hurricane Ian caused widespread damage across the southeastern coast of the United States, especially the state of Florida after it made landfall in western Cuba.",NULL,NULL,NULL,NULL,NULL,NULL
168,Hurricane Gustav,https://en.wikipedia.org/wiki/Hurricane_Gustav,"Hurricane Gustav occurred from August 25, 2008 to September 7, 2008.","Hurricane Gustav affected the Lesser Antilles, Greater Antilles, United States Gulf Coast, Oklahoma, Arkansas, Tennessee, Missouri, Illinois, Michigan.","An estimated 153 deaths had been attributed to Gustav in the U.S. and Caribbean. 67,255 persons were evacuated in the Dominican Republic, and 300,000 people were evacuated from Gustav's path in Cuba.",A total of 153 deaths were confirmed caused by Hurricane Gustav in the U.S. and Caribbean.,"In Haiti, 2,100 houses were destroyed and another 8,150 damaged, causing an estimated 7,200 people to live in temporary shelters. In Cuba, 20,000 of the 25,000 houses on Isla de la Juventud were damaged.","In the Dominican Republic, a landslide killed eight people and two others were injured. In Cuba, there were 'many people injured' on Isla de la Juventud.","The total damage in the U.S. totaled to $6 billion (2008 USD), with additional damage of $2.1 billion in Cuba and $210 million in damage in Jamaica. The combined damage estimate from Gustav and the subsequent hurricanes Ike and Paloma is about $9.4 billion (USD), with about 2.1 billion of that from Gustav.","In Cuba, 86,000 homes were damaged, 80 electric towers and 600 electric posts fell. In the U.S., 48 deaths were blamed on Hurricane Gustav, and extensive wind damage was sustained in the community of Houma, Louisiana, and the surrounding area."
169,Tropical Storm Danielle (1992),https://en.wikipedia.org/wiki/Tropical_Storm_Danielle_(1992),"Tropical Storm Danielle occurred from September 22, 1992, to September 26, 1992.","The areas affected by Tropical Storm Danielle include North Carolina, Virginia, Maryland, Delaware, New Jersey, and Pennsylvania.","The storm caused minimal damage, and there were no reports of deaths or injuries, except for two direct fatalities in New Jersey from a boat sinking.",Tropical Storm Danielle caused 2 direct fatalities.,The text does not provide specific information about the number of people who became homeless or displaced due to the storm.,"The text mentions that there were no reports of injuries, except for the two direct fatalities in New Jersey.","The text states that overall damage from the storm was minimal, and it caused severe beach erosion, but it does not provide a specific economic loss in USD or other currencies.","The text mentions that the storm destroyed three houses in the Outer Banks of North Carolina, and also destroyed two houses in South Nags Head and one in Rodanthe, with three other houses threatened by the storm."
170,Boundary Waters–Canadian derecho,https://en.wikipedia.org/wiki/Boundary_Waters%E2%80%93Canadian_derecho,"The Boundary Waters–Canadian Derecho occurred during the afternoon and evening hours of July 4 and the early morning hours of July 5, 1999.","The areas affected by Boundary Waters–Canadian Derecho include Northern United States, southern Canada, North Dakota, Minnesota, Ontario, New Hampshire, Vermont, and Maine.","Over 700,000 homes and businesses lost power from the event.",Four persons were killed by the derecho.,NULL,"One person was killed and 60 were injured as the derecho passed through the Boundary Waters Canoe Area Wilderness (BWCAW) and Superior National Forest. The storm caused more damage in New Hampshire and Vermont, killing one more person, before finally dissipating in Maine after 5:00 a.m.",The derecho caused well over $100 million in damage.,"The storm caused $85 million in damage in the Fargo metropolitan area, and much damage was recorded in the Metropolitan area of Quebec. Additionally, farm buildings were damaged and a church was badly damaged near Sherbrooke in the Eastern Townships."
171,Cyclone John,https://en.wikipedia.org/wiki/Cyclone_John,Cyclone John occurred from 9 December 1999 to 16 December 1999.,"Cyclone John affected areas of Western Australia, including Whim Creek, Karratha, Point Samson, and Wickham.","Hundreds of people were evacuated from homes, primarily in Karratha, and 500 people evacuated to shelters in Wickham, Western Australia.",Cyclone John was responsible for no deaths.,"25 houses were flooded, and some residents of Whim Creek took refuge in a shipping container.",NULL,The economic loss or damage caused by Cyclone John is unknown.,"The top floor of a 113-year-old pub and hotel in Whim Creek was destroyed, and 140 windmills between Whim Creek and Newman were destroyed by the cyclone."
172,2010 Central European floods,https://en.wikipedia.org/wiki/2010_Central_European_floods,The 2010 Central European floods occurred during May and June 2010.,"Poland was the worst affected, and Austria, the Czech Republic, Hungary, Slovakia, and Serbia were also affected.","At least 23,000 people were evacuated, and 12,000 people were affected in the Malopolska region alone.",At least 37 people died in the floods.,"Approximately 23,000 people were evacuated, and more than 480 people had to leave their homes in the Czech Republic.","Several casualties were reported, including one death in the Czech Republic and injuries in Hungary.",The estimated economic cost of the floods was 2.5 billion euros.,"At least 6,200 households in the Malopolska region alone were fully or partially flooded."
173,1993 Pacific hurricane season,https://en.wikipedia.org/wiki/Tropical_Storm_Beatriz_(1993),"Seasonal activity began on May 17 and ended on November 8, within the confines of a traditional hurricane season which begins on May 15 in the East Pacific and June 1 in the Central Pacific. The season ends on November 30 in both basins.","Southern Mexico, Southwestern Mexico, Hawaiian Islands, California, Baja California Sur, Durango, Nayarit, Sinaloa, Culiacan","At least 10,000 people were displaced throughout Mexico.",Total fatalities: 50 total,"Lidia destroyed hundreds of homes, displaced over 10,000 people, and resulted in 7 deaths. Across Durango, 16 homes were destroyed and some 4,000 others were damaged.",One person was injured as well.,Total damage: $45 million (1993 USD),At least 100 houses were reportedly destroyed.
174,1966 Venice flood,https://en.wikipedia.org/wiki/1966_Venice_flood,Date: 4 November 1966 (1966-11-04),"Venice, Italy was the most severely affected, but other Italian cities in Northern and Central Italy, such as Florence, Trento, and Siena, were also affected.","Thousands of residents were left without homes and over 75 percent of businesses, shops, and artisans' studios were seriously damaged or destroyed.",NULL,Thousands of residents were left without homes.,NULL,Over six million dollars worth of damage to the various works of art throughout Venice.,Thousands of goods were either seriously damaged or destroyed completely.
175,2020 East Africa floods,https://en.wikipedia.org/wiki/2020_East_Africa_floods,The 2020 East Africa floods occurred from March to May.,"The areas affected by the 2020 East Africa floods include Rwanda, Kenya, Somalia, Burundi, Ethiopia, Uganda, Democratic Republic of the Congo, Djibouti, and Tanzania.","At least 700,000 people were affected by the 2020 East Africa floods.",A total of 453 deaths were confirmed caused by the 2020 East Africa floods.,"Over 100,000 people were displaced in Kenya, 216,895 in Somalia, and around 5,000 in Ethiopia.",A total of 200 people were injured in South Kivu Province.,The direct economic loss due to the 2020 East Africa floods is not explicitly mentioned in the provided text.,"91 houses were destroyed in Rwanda, 5 bridges were destroyed in Kenya, and 6 houses were completely destroyed in Djibouti."
176,Typhoon Nari (2013),https://en.wikipedia.org/wiki/Typhoon_Nari_(2013),"Typhoon Nari (2013) occurred from October 8, 2013 to October 16, 2013.","The areas affected by Typhoon Nari (2013) include Philippines, Vietnam, Laos, Thailand, and Cambodia.","A total of 15 people were left dead in the Philippines, while 5 were missing. In Vietnam, Nari caused 26 deaths and economic losses of 4,315 billion VND (US$204.5 million, 2013).",A total of 93 fatalities were confirmed caused by Typhoon Nari (2013) in total.,There is no specific information available about the number of people who became homeless or displaced due to Typhoon Nari (2013).,There is no specific information available about the number of people who became injured related to Typhoon Nari (2013).,The total economic losses due to Typhoon Nari (2013) were $289.6 million (2013 USD) in total.,There is no specific information available about the number of buildings damaged or destroyed by Typhoon Nari (2013) in total.
177,1958 Yellow River flood,https://en.wikipedia.org/wiki/1958_Yellow_River_flood,"In July 1958, the peak discharge of the Yellow River at Huayuankou was 22,300 m3/s (790,000 cu ft/s) with a maximum sediment concentration of 911 kg/m3 (57 lb/cu ft), 14× and 24× their mean annual values, respectively.","In the Yellow River beach area and Dongping Lake area of Shandong and Henan provinces alone, 1,708 villages were inundated, 740,800 people were affected, 3.04 million mu of cultivated land was inundated, and 300,000 houses collapsed.","This flood affected 741,000 people, submerged over half a million acres of crops (3.04 million mu), and destroyed over 300,000 houses in 1708 villages.",NULL,NULL,NULL,NULL,It was reported as the most severe flood since 1933.
178,Cyclone Orson,https://en.wikipedia.org/wiki/Cyclone_Orson,Cyclone Orson occurred from 17 April 1989 to 24 April 1989.,"The areas affected by Cyclone Orson include Western Australia, Dampier, Pannawonica, Karratha, and Point Samson.","About 1,000 people were affected by Cyclone Orson.",A total of 5 deaths were confirmed to be caused by Cyclone Orson.,60 people were left homeless due to Cyclone Orson.,Twenty people were injured during the storm.,The economic loss or damage due to Cyclone Orson was estimated at $16.8 million (1989 USD).,Seventy homes were damaged in the mining town of Pannawonica.
179,Typhoon Judy (1982),https://en.wikipedia.org/wiki/Typhoon_Judy_(1982),"Typhoon Judy (1982) occurred from September 4, 1982 to September 15, 1982.",The areas affected by Typhoon Judy (1982) included Japan.,"A total of 26 people were killed, eight others were rendered as missing, and 86 were injured due to Typhoon Judy (1982).",A total of 26 deaths were confirmed caused by Typhoon Judy (1982).,"Approximately 61,000 homes were flooded, and 105 homes were destroyed due to Typhoon Judy (1982).",A total of 86 people were injured due to Typhoon Judy (1982).,The economic loss or damage due to Typhoon Judy (1982) was estimated at $505 million (2023 USD).,A total of 105 homes were destroyed due to Typhoon Judy (1982).
180,Tropical Storm Linda (1997),https://en.wikipedia.org/wiki/Tropical_Storm_Linda_(1997),"Tropical Storm Linda (1997) occurred from October 31, 1997, to November 9, 1997.","The areas affected by Tropical Storm Linda (1997) include the Philippines, Malaysia, Indonesia, Brunei, Vietnam, Cambodia, Thailand, and Burma.","The storm affected a total of 3,275 people.","The total number of deaths caused by Tropical Storm Linda (1997) was 3,111.","A total of 383,045 people became homeless due to the storm.",857 people were injured by the storm.,The economic loss or damage totaled $385 million (USD).,"The storm damaged 139,445 houses and wrecked 76,609 more."
181,Nan,"https://en.wikipedia.org/wiki/All_Saints%27_Day_Flood_of_1436', ""All Saints' Day Flood of 1436 - Wikipedia"", ""all saints ' day flood of 1436"", 'Nan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,Hurricane Pali,https://en.wikipedia.org/wiki/Hurricane_Pali,"Hurricane Pali occurred from January 7, 2016 to January 15, 2016.",Kiribati was the area affected by Hurricane Pali.,"The storm caused severe impacts in Kiribati, grounding a cargo ship and killing four people.",Four people were confirmed dead due to Hurricane Pali.,The exact number of people who became homeless or displaced was not specified.,The number of people injured was not specified.,The amount of damage caused by the storm was not specified in the island nation's report to the World Meteorological Organisation.,The exact number of buildings damaged or destroyed was not specified.
183,Typhoon Nock-ten,https://en.wikipedia.org/wiki/Typhoon_Nock-ten,"Typhoon Nock-ten occurred from December 20, 2016 to December 28, 2016.","Typhoon Nock-ten affected the Caroline Islands, Philippines, and Vietnam.",A total of 13 people were reported dead and damages were estimated upwards of US$127.5 million.,13 people were known to have been killed by Nock-ten.,NULL,NULL,Damage totals were estimated upwards of US$127.5 million.,NULL
184,2019 heat wave in India and Pakistan,https://en.wikipedia.org/wiki/2019_heat_wave_in_India_and_Pakistan,"From mid-May to mid-June 2019, the republics of India and Pakistan had a severe heat wave.",Areas: IndiaPakistan,"As of 31 May 2019, 8 deaths and 456 cases of illness due to heat were reported in Maharashtra, at least 17 deaths in Telangana, and 3 deaths and 433 cases of heat stroke in Andhra Pradesh.","India: 184 in Bihar, plus dozens more in other states. Pakistan: 5",NULL,"On 10 June 2019, three passengers were found dead on a train as it arrived in Jhansi, apparently due to the extreme heat. A fourth passenger was found in critical condition and brought to a hospital where they died of overheating.",NULL,NULL
185,2015 Russian wildfires,https://en.wikipedia.org/wiki/2015_Russian_wildfires,"From 12 to 16 April 2015, a series of wildfires spread across southern Siberia, Russia.","The wildfires affected the Republics of Khakassia and Zabaykalsky Krai in Russia, as well as Inner Mongolia, China.","Approximately 6,000 people were left homeless in the Republic of Khakassia, and more than 800 people were left homeless in Zabaykalsky Krai.","At least 33 people died in the wildfires, with 29 deaths reported in Khakassia and 4 deaths reported in Zabaykalsky Krai.","Approximately 6,000 people were left homeless in the Republic of Khakassia, and more than 800 people were left homeless in Zabaykalsky Krai.","Approximately 900 people were injured, with 77 hospitalized and 8 in critical condition.",The economic damage in Inner Mongolia was estimated at US$3.2 million.,"Over 150 homes across 19 villages were damaged in Zabaykalsky Krai, and 85 buildings were damaged in Inner Mongolia."
186,2014 Southeast Europe floods,https://en.wikipedia.org/wiki/2014_Southeast_Europe_floods,"Between 13 and 18 May 2014 a low-pressure cyclone designated Tamara and Yvette affected a large area of Southeastern and Central Europe, causing floods and landslides.","Serbia, Bosnia and Herzegovina, Croatia, Romania, Slovakia, Austria, Bulgaria, Hungary, Italy, Poland","Over 1.6 million people were affected in Serbia and Bosnia, after a week of flooding.",At least 86 deaths were confirmed caused by 2014 Southeast Europe floods in total.,Hundreds of thousands had been forced from their homes.,NULL,"Assessments of the damage range up to €3.5 billion for Serbia, Bosnia and Herzegovina. The total amount of damage in the country was estimated at 1.53 billion Euro.","2,260 public, industrial and infrastructure facilities were flooded, and 3,500 roads were destroyed. Around 500 houses were seriously damaged and at least 20 houses are completely uninhabitable."
187,Hurricane Maria (2011),https://en.wikipedia.org/wiki/Hurricane_Maria_(2011),"Hurricane Maria (2011) occurred from September 6 to September 18, 2011.","Hurricane Maria (2011) affected the Lesser Antilles, Bermuda, Newfoundland, and Europe.","Over 15,000 people went without power in the extreme northeastern Caribbean, and heavy rainfall flooded and damaged around 150 homes in Yabucoa, Puerto Rico.",None reported.,Many people were forced to relocate after rainfall and mud filled their homes in Puerto Rico.,NULL,Hurricane Maria (2011) caused $1.3 million (2011 USD) in damage.,"Flood waters near Patillas, Puerto Rico, destroyed several homes and bridges."
188,Typhoon Nora (1973),https://en.wikipedia.org/wiki/Typhoon_Nora_(1973),"Typhoon Nora (1973) occurred from October 2, 1973 to October 11, 1973.","The areas affected by Typhoon Nora (1973) include the Philippines, Taiwan, Eastern China, and Hong Kong.","More than 1 million residents in the Philippines were left homeless, and in Taiwan, 8,000 people were left homeless.",A total of 40 fatalities were confirmed to be caused by Typhoon Nora (1973).,"At least 1 million residents in the Philippines were left homeless, and in Taiwan, 8,000 people were left homeless.",There is no specific mention of the number of people who were injured due to Typhoon Nora (1973).,The economic damage caused by Typhoon Nora (1973) was estimated to be $2 million (1973 USD).,"More than 1,000 homes were destroyed in Taiwan, and extensive damage to crops and property was reported across the affected areas."
189,Typhoon Jebi,https://en.wikipedia.org/wiki/Typhoon_Jebi,"Typhoon Jebi occurred from August 26, 2018, to September 9, 2018.","Typhoon Jebi affected the Northern Mariana Islands, Taiwan, Japan, and the Russian Far East.",A total of 21 fatalities were confirmed due to Typhoon Jebi.,A total of 21 fatalities were confirmed due to Typhoon Jebi.,"Approximately 8,000 residents evacuated to 1,667 shelters in 24 prefectures.",A total of 980 people were injured due to Typhoon Jebi.,The economic loss or damage due to Typhoon Jebi was estimated at $14 billion (2018 USD).,"97,910 houses were damaged, of which 68 collapsed and 833 suffered major damage."
190,Hurricane Beatriz (2011),https://en.wikipedia.org/wiki/Hurricane_Beatriz_(2011),"Hurricane Beatriz (2011) occurred from June 19, 2011 to June 22, 2011.","The areas affected by Hurricane Beatriz (2011) include Southwestern Mexico, specifically the states of Colima, Guerrero, Oaxaca, Chiapas, Michoacan, and Jalisco.","Several hundred homes were inundated by flood waters, placing 150 homes across 14 colonias under water. Additionally, at least a dozen homes lost their roofs due to high winds.",Four people were confirmed dead as a result of Hurricane Beatriz (2011).,"380 homes were inundated by flood waters, prompting evacuations in areas built in 1999 to relocate residents after Hurricane Pauline.",There is no specific information available about the number of people who were injured.,"The original text states that the overall effects of Beatriz were limited and the rains were largely beneficial in mitigating a severe drought. Therefore, there is no specific information available about economic loss.","Several homes across the state were damaged, though none were destroyed. Additionally, several landslides blocked off roads and a 100 m (330 ft) section of a roundabout was destroyed."
191,Tropical Storm Sinlaku (2020),https://en.wikipedia.org/wiki/Tropical_Storm_Sinlaku_(2020),"Tropical Storm Sinlaku occurred from July 31, 2020, to August 3, 2020.","Tropical Storm Sinlaku affected the Philippines, Vietnam, Thailand, and Laos.","1,399 households were affected by the flash floods in Vietnam, and over 1,000 people were affected in Xayaboury Province.","Four people were confirmed dead due to Tropical Storm Sinlaku, with two deaths in Vietnam and two deaths in Thailand.","Over 200 houses were damaged in Xayaboury Province, and over 1,400 houses were damaged in Vietnam.","Two people were injured in the province of Lam Dong, Vietnam.",The total damages were about $12.9 million (2020 USD).,"Over 1,400 houses were damaged by the flash floods in Vietnam, and over 200 houses were damaged in Xayaboury Province."
192,Cyclone Alby,https://en.wikipedia.org/wiki/Cyclone_Alby,"Forming out of an area of low pressure on 27 March 1978, Alby steadily developed as it tracked southwestward, parallel to Western Australia. The storm brushed the cape on 4 April, bringing hurricane-force winds, before rapidly losing its identity the following day.","In Western Australia, the combination of Alby's fast movement and hurricane-force winds caused widespread damage. The storm impacted many areas far from the storm.","The resulting damage was extensive, with monetary losses reaching A$50 million (US$45 million).",Five fatalities are attributed to Alby and the associated brushfires.,"In Bunbury, water breached the sea wall, inundating 100 homes and prompting the evacuation of 130 residents.",Two people were killed while trying to suppress the fires: one from a fallen tree in Mount Barker and the other in Manjiump when a bulldozer clearing a firebreak flipped over.,"The resulting damage was extensive, with monetary losses reaching A$50 million (US$45 million).","Hundreds of structures sustained severe damage, mostly consisting of roofs blowing off. Over 100 structures, 1,300 km (810 mi) of fencing and tens of thousands of hay bales were destroyed."
193,Cyclone Anne (2014),https://en.wikipedia.org/wiki/Cyclone_Anne_(2014),Cyclone Anne (2014) occurred from 1 January 2014 to 6 January 2014.,"Areas affected by Cyclone Anne (2014) include Republic of Ireland, United Kingdom, France, Channel Islands, Isle of Man, Spain, Portugal.","130 homes flooded in England, 35 homes and businesses flooded in Devon, 30 homes flooded in Cardigan, 100 residents evacuated from vulnerable homes in Borth and Aberystwyth in Wales, homes flooded in Dumfries and Galloway Council in Scotland.",NULL,"Several families were evacuated from homes in Lahinch, Inishbofin in County Galway saw heavy seas causing extensive damage, low-lying port areas affected in Isle of Man, parts of Ramsey lost electricity in Isle of Man, NULL in other areas.",NULL,Cyclone Anne (2014) caused €75 million in damage across western Europe.,"Several families were evacuated from their block of flats after the building was hit by lightning in Aylesbury, extensive damage on the island of Inishbofin in County Galway, 30 homes flooded in Cardigan, NULL in other areas."
194,Hurricane Gert (1999),https://en.wikipedia.org/wiki/Hurricane_Gert_(1999),"Hurricane Gert (1999) occurred from September 11, 1999, to September 23, 1999.","Hurricane Gert (1999) affected Bermuda, Maine, and Atlantic Canada.","11,000 people were left without power in Bermuda due to Hurricane Gert (1999).",2 deaths were confirmed as being caused by Hurricane Gert (1999) in total.,NULL,2 people were swept out to sea at Acadia National Park in Maine due to Hurricane Gert (1999).,The economic damage caused by Hurricane Gert (1999) was $1.9 million (1999 USD).,"The Natural Arches were damaged, part of a house collapsed into the sea, and severe damage was reported along the southern shore of Newfoundland due to Hurricane Gert (1999)."
195,1034 Yellow River flood,https://en.wikipedia.org/wiki/1034_Yellow_River_flood,The 1034 Yellow River flood occurred around July 1034.,"The flood affected the rich northern regions of Dezhou and Bozhou, as well as reducing revenues in the northern regions of the Northern Song.",The text does not explicitly mention the number of people affected by the flood.,The text does not mention the number of deaths caused by the 1034 Yellow River flood.,The text does not provide specific information about the number of people who became homeless or displaced due to the flood.,The text does not specify the number of people who were injured due to the flood.,"The text mentions significant damage to agricultural regions around Dezhou and Bozhou, as well as reduced revenues in the northern provinces of the Northern Song.",The text does not provide specific information about the number of buildings damaged or destroyed by the 1034 Yellow River flood.
196,"Category:Hurricane Sandy (2012) - Wikinews, the free news source",https://en.wikinews.org/wiki/Category:Hurricane_Sandy_(2012),Hurricane Sandy (2012) occurred in October 2012.,The text mentions damage in New Jersey.,NULL,NULL,NULL,NULL,NULL,NULL
197,2006 Colorado Holiday Blizzards,https://en.wikipedia.org/wiki/2006_Colorado_Holiday_Blizzards,"The Holiday Blizzards occurred in two segments during the last two weeks of December 2006 in the Denver, Colorado area.","The blizzards affected the Denver, Colorado area, as well as Colorado, Kansas, Oklahoma, and Texas Panhandles.","An estimated 100,000 people were affected by the closure, and over two dozen deaths were reported in the Colorado, Kansas, Oklahoma, and Texas Panhandles.","The blizzard caused four confirmed deaths in Colorado, including one former CSU professor and a University of Colorado undergraduate student.",NULL,NULL,"United Airlines announced more than $40 million in losses from the storms' effects on holiday travel, and the cost for snow removal in December 2006 alone was $2.8 million.",NULL
198,2013 North India floods,https://en.wikipedia.org/wiki/2013_North_India_floods,The main day of the flood was 16 June 2013.,"The floods affected Uttarakhand, Himachal Pradesh, Uttar Pradesh, Nepal, Sudurpashchim Pradesh, Karnali Pradesh, and some parts of Tibet.","Over 300,000 pilgrims and tourists were trapped in the valleys leading to three of the four Hindu Chota Char Dham pilgrimage sites.","The death toll was later placed at 6,054.",Reports of 128 houses and 13 government offices swept away and over 1000 people homeless.,NULL,The Prime Minister of India announced Rs10 billion (US$130 million) aid package for disaster relief efforts in the state.,"Many hotels, rest houses, and shops around the temple in Kedarnath township were destroyed, resulting in several casualties."
199,2015 Northern Chile floods and mudflow,https://en.wikipedia.org/wiki/2015_Northern_Chile_floods_and_mudflow,The 2015 Northern Chile floods and mudflows occurred from 23 March 2015 to 25 March 2015.,"The floods and mudflows affected much of northern Chile, specifically the Antofagasta, Atacama, and Coquimbo regions.","The National Office of Emergency of the Interior Ministry (ONEMI) reported more than 27,413 people affected, with 5,585 people in shelters and more than 300 isolated due to road destruction.","26 people died during the mudflow, and 101 are officially missing.",NULL,NULL,"Preliminary figures show that property damage reaches more than 28,000 houses, of those 105 are completely destroyed, and at least 5,900 present severe damages.","Property damage reaches more than 28,000 houses, of those 105 are completely destroyed, and at least 5,900 present severe damages."
